,wid,reflection_period,original_hm,cleaned_hm,modified,num_sentence,ground_truth_category,predicted_category,id,text
23459,346,3m,My happiest moment everyday my mom say bye to me when i get ready to go somewhere.,My happiest moment everyday my mom say bye to me when i get ready to go somewhere.,True,1,affection,affection,34230,bye everyday mom moment ready
23471,346,3m,"When my sister's firs child was born and the nurse show him to me. I can not describe what I felt, but it was unforgettable. Birth of my sister's first born and holding him for the first time!","When my sister's firs child was born and the nurse show him to me. I can not describe what I felt, but it was unforgettable. Birth of my sister's first born and holding him for the first time!",True,3,affection,affection,71048,birth born born child describe firs hold nursing sister sister time unforgettable
23475,346,3m,"When somebody compliments me sincerely on my work, I felt proud and successful.","When somebody compliments me sincerely on my work, I felt proud and successful.",True,1,achievement,achievement,74980,complimented proud sincerely successfully
23478,346,3m,"I wished my brother on his birthday at 12:00am. Then i gave some surprises to him. I played some song and dedicated to my brother. On that time he felt so happy. On seeing his face on that time , that made me very happy.","I wished my brother on his birthday at 12:00am. Then i gave some surprises to him. I played some song and dedicated to my brother. On that time he felt so happy. On seeing his face on that time , that made me very happy.",True,5,affection,affection,77573,birthday brother brother dedicated played song surprise time time wished
23487,346,24h,We played a game friends. I am it! Everyone congratulated me! I was at the heaven that right movement. I believe this my favourite movement in my life.,We played a game friends. I am it! Everyone congratulated me! I was at the heaven that right movement. I believe this my favourite movement in my life.,True,5,bonding,bonding,95735,congratulated favourite friend game heaven life movement movement played
23495,214,24h,"When I am getting ready to go to my office, My parents send off with cute smile and say ""Have a nice day and Take care""","When I am getting ready to go to my office, My parents send off with cute smile and say ""Have a nice day and Take care""",True,1,affection,affection,6922,care cute day nice office parents ready send smile
23498,214,24h,"when i am getting ready to go to my office, my parents send off with cute smile and say ""  Have a nice day and Take care""","when i am getting ready to go to my office, my parents send off with cute smile and say ""  Have a nice day and Take care""",True,1,affection,affection,9023,care cute day nice office parents ready send smile
23499,214,24h,"when i came to my office, i met my grandpa and grandma. they shared me about my brother summer vocation trip and wished me to get a bright future in my life too.","when i came to my office, i met my grandpa and grandma. they shared me about my brother summer vocation trip and wished me to get a bright future in my life too.",True,2,affection,affection,9322,bright brother future grandma grandpa life met office share summer trip vocation wished
23500,214,24h,Laughing so hard when telling a story you can barely make it to the end,Laughing so hard when telling a story you can barely make it to the end,True,1,enjoy_the_moment,enjoy_the_moment,13296,barely hard laugh story telling
23505,214,24h,"My happiest moment is my college days,bcoz weekly two or three days we bunk the class and go to film, beach any resort. this is my happiest moment.","My happiest moment is my college days,because weekly two or three days we bunk the class and go to film, beach any resort. this is my happiest moment.",False,2,enjoy_the_moment,enjoy_the_moment,18124,beach bunk class college day daysbecause film moment moment resort weeks
23506,214,24h,"every moment of my life is happy because i leave the life in 
present but happiest moment when achieve in life some new.","every moment of my life is happy because i leave the life in 
present but happiest moment when achieve in life some new.",True,1,enjoy_the_moment,enjoy_the_moment,18944,achieved leave life life life moment moment
23508,214,24h,"My happiest moment is my college days,because weekly two or three days we bunk the class and go to film, beach any resort. this is my happiest moment.","My happiest moment is my college days,because weekly two or three days we bunk the class and go to film, beach any resort. this is my happiest moment.",True,2,enjoy_the_moment,enjoy_the_moment,20537,beach bunk class college day daysbecause film moment moment resort weeks
23516,214,3m,"My Uncle is working abroad. when he is here, Its the quality time that are precious to me.","My Uncle is working abroad. when he is here, Its the quality time that are precious to me.",True,2,affection,affection,42606,abroad precious quality time uncle
23517,214,3m,My happiest moment everyday my mom say bye to me when i get ready to go somewhere,My happiest moment everyday my mom say bye to me when i get ready to go somewhere,True,1,affection,affection,44594,bye everyday mom moment ready
23518,214,3m,"My uncle lived in Mumbai. When I receive a call from my uncle , i really felt happy to speak to them. Their children's spoke me with their baby voice. Its very nice to hear on that time.","My uncle lived in Mumbai. When I receive a call from my uncle , i really felt happy to speak to them. Their children's spoke me with their baby voice. Its very nice to hear on that time.",True,4,affection,affection,45764,baby called children hear live mumbai nice received speak spoke time uncle uncle voice
23523,214,3m,Laughing so hard when telling a story you can barely make it to the end.When youave finished a really good book and you just put it down on your lap and stare into space for a couple minutes because you need to collect yourself and return to reality.Surprises. Good surprises.,Laughing so hard when telling a story you can barely make it to the end.When you've finished a really good book and you just put it down on your lap and stare into space for a couple minutes because you need to collect yourself and return to reality.Surprises. Good surprises.,False,2,leisure,leisure,54052,barely book collect couple endwhen finished hard lap laugh minutes realitysurprises return space stare story surprise telling youve
23532,214,3m,"When somebody compliments me sincerely on my work, I felt proud and successful.","When somebody compliments me sincerely on my work, I felt proud and successful.",True,1,achievement,achievement,74937,complimented proud sincerely successfully
23535,214,3m,"I wished my brother on his birthday at 12:00am. Then i gave some surprises to him. I played some song and dedicated to my brother. On that time he felt so happy. On seeing his face on that time , that made me very happy.","I wished my brother on his birthday at 12:00am. Then i gave some surprises to him. I played some song and dedicated to my brother. On that time he felt so happy. On seeing his face on that time , that made me very happy.",True,5,affection,affection,77545,birthday brother brother dedicated played song surprise time time wished
23537,214,24h,"Restarting the song when I miss my most favourite line. As I hearing the favourable song, I used to sing that song myself.","Restarting the song when I miss my most favourite line. As I hearing the favourable song, I used to sing that song myself.",True,2,leisure,leisure,85994,favourable favourite hear line missed restarting singing song song song
23538,214,24h,"Everything else becoming more interesting when its exam time Enjoying the moment.When I heared the announcement of exam time table,  At that time, I felt little tensed for preparation. But after completed all the exams, I really felt free with blissfull.","Everything else becoming more interesting when its exam time Enjoying the moment.When I heared the announcement of exam time table,  At that time, I felt little tensed for preparation. But after completed all the exams, I really felt free with blissful.",False,2,enjoy_the_moment,enjoy_the_moment,86986,announced blissful completed enjoyed exam exam exam free hear momentwhen prepared table tensed time time time
23545,214,24h,"My dad presented me a new laptop surprisingly on my birthday I was so excited. I can't forget that day in my life, that was my first surprise given by my dad..



","My dad presented me a new laptop surprisingly on my birthday I was so excited. I can't forget that day in my life, that was my first surprise given by my dad..



",True,2,affection,affection,99264,birthday dad dad day excited forget laptop life surprise surprise
23546,214,24h,My happiest moment everyday my mom say bye to me when i get ready to go somewhere,My happiest moment everyday my mom say bye to me when i get ready to go somewhere,True,1,affection,affection,99762,bye everyday mom moment ready
23547,214,24h,"My Uncle is working abroad. when he is here, Its the quality time that are precious to me.","My Uncle is working abroad. when he is here, Its the quality time that are precious to me.",True,2,affection,affection,100256,abroad precious quality time uncle
23770,352,24h,"Yesterday we celebrate my brother 28th birthday in my home down.We decorate our home very specially with lights&arrange veg&non-veg foods.My father present his 28th birthday R15 bike.we cut black forest cake,&ate some sweet items.We saw some places in our hometown with R15bike. Then we back our home.","Yesterday we celebrate my brother 28th birthday in my home down.We decorate our home very specially with lights&arrange veg&non-veg foods.My father present his 28th birthday R15 bike.we cut black forest cake,&ate some sweet items.We saw some places in our hometown with R15bike. Then we back our home.",True,2,affection,affection,8718,bikewe birthday birthday black brother cakeate celebrated cut decorated downwe father foodsmy forest home home home hometown itemswe lightsarrange rbike special sweet vegnonveg
23775,352,24h,"Yesterday i propose my love. She accept my love,and i am so happy the moment,she present a greetings card and i am also gave a gift. Then we saw the picture in theatre.Then we return their home.We spoke 30 minutes in phone,i am so happy &enjoy the moment.","Yesterday i propose my love. She accept my love,and i am so happy the moment,she present a greetings card and i am also gave a gift. Then we saw the picture in theatre.Then we return their home.We spoke 30 minutes in phone,i am so happy &enjoy the moment.",True,3,affection,affection,15074,accepted card enjoyed gift homewe love loveand minutes moment momentshe phonei picture proposed return spoke theatrethen
23778,352,24h,"Morning at  9.00am i wrote Group-4 exam in exam centre.Exam question paper very easy,my preparation also very well.I hope this time defiantly i""ll earn a good marks in my examinations.I pray the god save me.","Morning at  9.00am i wrote Group-4 exam in exam centre.Exam question paper very easy,my preparation also very well.I hope this time defiantly i""ll earn a good marks in my examinations.I pray the god save me.",True,1,achievement,achievement,18240,centreexam defiant earned easymy exam exam examinationsi god hope ill marks morning paper pray prepared questions saved time welli wrote
23781,352,24h,"I gave a hero bicycle learn to my sister son.He saw the cycle his happy is endless.I feel very proudly saw his happy.He learn the cycle in 30 minutes.then we back our home and ate some foods then he went his bed,he cant forget the surprise.I feel very comfortable the situation.","I gave a hero bicycle learn to my sister son.He saw the cycle his happy is endless.I feel very proudly saw his happy.He learn the cycle in 30 minutes.then we back our home and ate some foods then he went his bed,he cant forget the surprise.I feel very comfortable the situation.",True,1,affection,affection,20554,ate bedhe bicycle comfortable cycle cycle endlessi feel feel food forget happyhe hero home learned learned minutesthen proud sister situation sonhe surprisei
23786,352,3m,"My happiest moment every day my mom say 'ALL IS WELL"" to me when i get ready to go somewhere in outside.","My happiest moment every day my mom say 'ALL IS WELL"" to me when i get ready to go somewhere in outside.",True,1,affection,affection,34236,day mom moment ready
23801,352,3m,When i share a heart felt moment of joy and laughter with my family and friends.,When i share a heart felt moment of joy and laughter with my family and friends.,True,1,affection,affection,74003,family friend heart joy laughter moment share
23805,352,3m,"I wished my brother on his birthday at 12:00am. Then i gave some surprises to him. I played some song and dedicated to my brother. On that time he felt so happy. On seeing his face on that time , that made me very happy.","I wished my brother on his birthday at 12:00am. Then i gave some surprises to him. I played some song and dedicated to my brother. On that time he felt so happy. On seeing his face on that time , that made me very happy.",True,5,affection,affection,77569,birthday brother brother dedicated played song surprise time time wished
23810,352,24h,When i got the ticket to visit live cricket CHINNAPPA STADIUM at bangalore. On that time i met cheer girls and enjoyed their dance.I had a fun a lot on that day really enjoy the moment.,When i got the ticket to visit live cricket nan STADIUM at bangalore. On that time i met cheer girls and enjoyed their dance.I had a fun a lot on that day really enjoy the moment.,False,2,bonding,enjoy_the_moment,91302,bangalore cheer cricket dancei day enjoyed enjoyed fun girl live met moment nan stadium tickets time visit
23856,294,24h,"when i came to my office. i met my grandpa and grandma, they shared me about my uncle's summer vocation trip and blessed me to get a bright future in my life","when i came to my office. i met my grandpa and grandma, they shared me about my uncle's summer vocation trip and blessed me to get a bright future in my life",True,2,affection,affection,15050,blessed bright future grandma grandpa life met office share summer trip uncle vocation
23868,294,3m,"my uncle is working abroad. when he is here, its the quality time that are precious to me.","my uncle is working abroad. when he is here, its the quality time that are precious to me.",True,2,affection,affection,37194,abroad precious quality time uncle
23875,294,3m,LISTENING A CERTAIN  SONG  WHEN GOES ON THE LONG DRIVE IN THE CAR AND FEELING VERY BLISSFUL ON THAT TIME HOW MUCH FUN I M LOVING.,LISTENING A CERTAIN  SONG  WHEN GOES ON THE LONG DRIVE IN THE CAR AND FEELING VERY BLISSFUL ON THAT TIME HOW MUCH FUN I M LOVING.,True,1,enjoy_the_moment,enjoy_the_moment,52152,blissful car drive feel fun listening love song time
23881,294,3m,"WHEN MY SISTERS FIRS CHILD WAS BORN, AND THE NURSE SHOW HIM TO ME. I CAN NOT DESCRIBE WHAT I FELT, BUT IT WAS UNFORGETTABLE. BIRTH OF MY SISTERS FIRST BORN AND HOLDING HIM FOR THE FIRST TIME!","WHEN MY SISTERS FIRS CHILD WAS BORN, AND THE NURSE SHOW HIM TO ME. I CAN NOT DESCRIBE WHAT I FELT, BUT IT WAS UNFORGETTABLE. BIRTH OF MY SISTERS FIRST BORN AND HOLDING HIM FOR THE FIRST TIME!",True,3,affection,affection,70059,birth born born child describe firs hold nursing sister sister time unforgettable
23885,294,3m,when i share a heart felt moment of joy and laughter with my family and friends.,when i share a heart felt moment of joy and laughter with my family and friends.,True,1,affection,affection,73973,family friend heart joy laughter moment share
23896,294,24h,"The last small thing that made me surprisingly happy was spending time with my grandma.I went through a phase in my life where I wanted complete autonomy from my family. I felt crushed by the pressures of trying to pursue a career my family wanted from me rather than one I wanted for myself. So, I just wanted to break free from all of them and be as far away as I possibly could, even my grandma whom has been there for me every day for the first 12 years of my life.It wasn't until lately, that I realized the importance of family and how short life can be. My grandma is 96 years old, which means she has a limited time left on this beautiful planet. It made me really sad that I haven't made much effort to really spend time with her ever since she moved to her own home. Instead of spending my weekends with her, I chose to go out with friends, date around, sit at home on the computer browsing new music, and basically just waste my time.This weekend, I decided to change that. I called her and spent the entire day with her. Sunday morning, I came to her house, cooked us some pancakes (her favorite), we went to Temple, just like we did when I was a kid, and then we spent the rest of the day at the mall, browsing the stores. I didn't expect it to make me as happy as I had planned, but it really made my day. I'm really glad I did that and I certainly plan to spend a lot more time with her now.","The last small thing that made me surprisingly happy was spending time with my grandma.I went through a phase in my life where I wanted complete autonomy from my family. I felt crushed by the pressures of trying to pursue a career my family wanted from me rather than one I wanted for myself. So, I just wanted to break free from all of them and be as far away as I possibly could, even my grandma whom has been there for me every day for the first 12 years of my life.It wasn't until lately, that I realized the importance of family and how short life can be. My grandma is 96 years old, which means she has a limited time left on this beautiful planet. It made me really sad that I haven't made much effort to really spend time with her ever since she moved to her own home. Instead of spending my weekends with her, I chose to go out with friends, date around, sit at home on the computer browsing new music, and basically just waste my time.This weekend, I decided to change that. I called her and spent the entire day with her. Sunday morning, I came to her house, cooked us some pancakes (her favorite), we went to Temple, just like we did when I was a kid, and then we spent the rest of the day at the mall, browsing the stores. I didn't expect it to make me as happy as I had planned, but it really made my day. I'm really glad I did that and I certainly plan to spend a lot more time with her now.",True,10,affection,affection,93773,autonomy basically beautiful break browsing browsing called career change chose completed computer cooked crush date day day day day decided didnt effort entire expected family family family favorite free friend glad grandma grandma grandmai havent home home house im importance kids left life life lifeit limited mall means morning moved music pancakes phase planned planned planet possibly pressure pursue realized rest sad short sitting spend spend spend spend spent spent store sunday surprise temple time time time time timethis wasnt waste weekend weekend
23897,294,24h,"when i go to uncle house, unfortunately  i saw my sister with her  now born baby whom i love to much so i would say that is most beautiful day for me .","when i go to uncle house, unfortunately  i saw my sister with her  now born baby whom i love to much so i would say that is most beautiful day for me .",True,1,affection,affection,94771,baby beautiful born day house love sister uncle
23901,294,24h,"My uncle is working abroad. when he is here, its the quality time that are precious to me.","My uncle is working abroad. when he is here, its the quality time that are precious to me.",True,2,affection,affection,100186,abroad precious quality time uncle
23991,313,24h,When I come to my office I met my grandpa and grandma. They shared me about me uncle's summer vocation trip and blessed me to get a bright future in my life.,When I come to my office I met my grandpa and grandma. They shared me about me uncle's summer vocation trip and blessed me to get a bright future in my life.,True,2,affection,affection,8008,blessed bright future grandma grandpa life met office share summer trip uncle vocation
23996,313,24h,"When I am getting to go to my office, my parents send off with cute smile and say""have a nice day and take care"".","When I am getting to go to my office, my parents send off with cute smile and say""have a nice day and take care"".",True,1,affection,affection,14155,care cute day nice office parents sayhave send smile
23998,313,24h,My happiest moment is yesterday I got my first month salary and I gave it to my mother. That makes me very happy,My happiest moment is yesterday I got my first month salary and I gave it to my mother. That makes me very happy,True,2,achievement,affection,16199,makes moment mother salary
24004,313,24h,I felt sad because I had forgotten where I keep my bicycle key.  Then my mom found out that key then I will get ready to come to the office. Then I really happy.,I felt sad because I had forgotten where I keep my bicycle key.  Then my mom found out that key then I will get ready to come to the office. Then I really happy.,True,3,enjoy_the_moment,enjoy_the_moment,24657,bicycle forgotten found key key mom office ready sad
24005,313,24h,We planned to go to tour on summer vocation. My father showed me a buying ticket. I was surprise.,We planned to go to tour on summer vocation. My father showed me a buying ticket. I was surprise.,True,3,affection,affection,25651,buy father planned summer surprise tickets tour vocation
24008,313,3m,My happiest moment everyday my mom say bye to me when i get ready to go somewhere,My happiest moment everyday my mom say bye to me when i get ready to go somewhere,True,1,affection,affection,34238,bye everyday mom moment ready
24017,313,3m,Getting birthday texts from people whom I like very much surprise. Good surprise.,Getting birthday texts from people whom I like very much surprise. Good surprise.,True,2,bonding,bonding,53130,birthday people surprise surprise text
24038,313,24h,My happiest moment everyday my mom say bye to me when i get ready to go some where,My happiest moment everyday my mom say bye to me when i get ready to go some where,True,1,affection,affection,99736,bye everyday mom moment ready
24048,1455,3m,New xbox game.,New xbox game.,True,1,leisure,leisure,74723,game xbox
24055,1455,24h,Watching a movie with my housemates,Watching a movie with my housemates,True,1,bonding,bonding,94505,housemate movie watched
24079,348,24h,"when i am getting ready to go to my office, my parents send off with cute smile and say ""  Have a nice day and Take care""","when i am getting ready to go to my office, my parents send off with cute smile and say ""  Have a nice day and Take care""",True,1,affection,affection,9022,care cute day nice office parents ready send smile
24080,348,24h,"when i came to my office, i met my grandpa and grandma. they shared me about my brother summer vocation trip and wished me to get a bright future in my life too.","when i came to my office, i met my grandpa and grandma. they shared me about my brother summer vocation trip and wished me to get a bright future in my life too.",True,2,affection,affection,9321,bright brother future grandma grandpa life met office share summer trip vocation wished
24086,348,24h,HAPPY EVENT IN MY LIFE MY FRIEND BIRTHDAY PARTY CELEBRATION VERY ENJOY AND HAPPINESS,HAPPY EVENT IN MY LIFE MY FRIEND BIRTHDAY PARTY CELEBRATION VERY ENJOY AND HAPPINESS,True,1,bonding,bonding,18142,birthday celebrated enjoyed event friend happiness life party
24091,348,24h,We planned to go to tour on summer vocation. My father showed me a buying tickets. I was surprised.,We planned to go to tour on summer vocation. My father showed me a buying tickets. I was surprised.,True,3,affection,affection,25708,buy father planned summer surprise tickets tour vocation
24104,348,3m,Laughing so hard when telling a story you can barely make it to the end.When youave finished a really good book and you just put it down on your lap and stare into space for a couple minutes because you need to collect yourself and return to reality.Surprises. Good surprises.,Laughing so hard when telling a story you can barely make it to the end.When you've finished a really good book and you just put it down on your lap and stare into space for a couple minutes because you need to collect yourself and return to reality.Surprises. Good surprises.,False,2,leisure,leisure,54062,barely book collect couple endwhen finished hard lap laugh minutes realitysurprises return space stare story surprise telling youve
24106,348,3m,"I got my first salary as Rs 3000/- i have spent Rs 3000/- to purchase costumes for my parent`s, i felt so happy. That time, its a great money for me and my parents.","I got my first salary as Rs 3000/- i have spent Rs 3000/- to purchase costumes for my parent`s, i felt so happy. That time, its a great money for me and my parents.",True,2,affection,achievement,71028,costumes money parents parents purchased rs rs salary spent time
24110,348,3m,"when somebody compliments me sincerely on my work, I felt proud and successful.","when somebody compliments me sincerely on my work, I felt proud and successful.",True,1,achievement,achievement,75008,complimented proud sincerely successfully
24113,348,3m,"I wished my brother on his birthday at 12:00am. Then i gave some surprises to him. I played some song and dedicated to my brother. On that time he felt so happy. On seeing his face on that time , that made me very happy.","I wished my brother on his birthday at 12:00am. Then i gave some surprises to him. I played some song and dedicated to my brother. On that time he felt so happy. On seeing his face on that time , that made me very happy.",True,5,affection,affection,77576,birthday brother brother dedicated played song surprise time time wished
24125,348,24h,"my uncle is working abroad. when he is here, its the quality time that are precious to me.","my uncle is working abroad. when he is here, its the quality time that are precious to me.",True,2,affection,affection,100224,abroad precious quality time uncle
24131,378,24h,I AM SO HAPPY AND ENJOYING BECAUSE SPEND MY FAMILY MEMBERS.THAT MOMENT IS THE BEST,I AM SO HAPPY AND ENJOYING BECAUSE SPEND MY FAMILY MEMBERS.THAT MOMENT IS THE BEST,True,1,affection,affection,7972,enjoyed family membersthat moment spend
24136,378,24h,I AM GOING TO RAJ HOTEL WITH MY COLLEGE FRIENDS THAT EVENT IS VERY HAPPY MOMENTABLE,I AM GOING TO RAJ HOTEL WITH MY COLLEGE FRIENDS THAT EVENT IS VERY HAPPY MOMENT,False,1,bonding,bonding,14165,college event friend hotel moment raj
24137,378,24h,AM GOING TO MY GRANDMOTHER HOUSE WITH MY SISTERS AND VERY ENJOYING HAPPINESS THAT MOMENT,AM GOING TO MY GRANDMOTHER HOUSE WITH MY SISTERS AND VERY ENJOYING HAPPINESS THAT MOMENT,True,1,affection,affection,15057,enjoyed grandmother happiness house moment sister
24146,378,24h,yesterday i went to shopping with my family members and buying lot of toys for my son....,yesterday i went to shopping with my family members and buying lot of toys for my son....,True,1,affection,affection,26652,buy family shopping son toy
24155,378,3m,"One day, a blind man sold natural scenario photos, god's photoes , etc. He said that it prices each Rs. 250. But a gentle genuine man bought that all items for each Rs.350. I really felt to salute him what happens.
","One day, a blind man sold natural scenario photos, god's photos , etc. He said that it prices each Rs. 250. But a gentle genuine man bought that all items for each Rs.350. I really felt to salute him what happens.
",False,5,enjoy_the_moment,enjoy_the_moment,49797,blind bought day gentle genuine god items nature photos photos price rs rs salute scenario sold
24167,378,3m,I wished my brother on his b'day at 12.00am.  Then i gave same song surprises to him. I played some song and dedicated to my brother. On that time he felt so happy. On seeing his face on that time that made me very happy.,I wished my brother on his b'day at 12.00am.  Then i gave same song surprises to him. I played some song and dedicated to my brother. On that time he felt so happy. On seeing his face on that time that made me very happy.,True,5,affection,affection,77602,bday brother brother dedicated played song song surprise time time wished
24171,378,24h,"When my online purchase family arrives at my houses, at felt happy to hold that by that by my hands, because that in ome of my favorable thing.","When my online purchase family arrives at my houses, at felt happy to hold that by that by my hands, because that in ome of my favorable thing.",True,1,affection,affection,90300,arrived family favor hand hold house ome online purchased
24312,321,24h,YESTERDAY I WENT TO THE HOTEL WITH MY HUSBAND. THAT MOMENT UNFORGETTABLE MOMENT IN MY LIFE.,YESTERDAY I WENT TO THE HOTEL WITH MY HUSBAND. THAT MOMENT UNFORGETTABLE MOMENT IN MY LIFE.,True,2,affection,affection,8707,hotel husband life moment moment unforgettable
24313,321,24h,"WHEN I AM GETTING READY TO GO TO MY OFFICE. MY PARENTS SEND OFF WITH CUTE SMILE AND SAY ""HAVE A NICE DAY AND TAKE CARE"".","WHEN I AM GETTING READY TO GO TO MY OFFICE. MY PARENTS SEND OFF WITH CUTE SMILE AND SAY ""HAVE A NICE DAY AND TAKE CARE"".",True,2,affection,affection,9007,care cute day nice office parents ready send smile
24314,321,24h,"WHEN I CAME TO MY OFFICE, I MET MY GRANDPA AND GRANDMA. THEY SHARED ME ABOUT MY UNCLE'S SUMMER VOCATION TRIP AND BLESSED ME TO GET A BRIGHT FUTURE IN MY LIFE.","WHEN I CAME TO MY OFFICE, I MET MY GRANDPA AND GRANDMA. THEY SHARED ME ABOUT MY UNCLE'S SUMMER VOCATION TRIP AND BLESSED ME TO GET A BRIGHT FUTURE IN MY LIFE.",True,2,affection,affection,9306,blessed bright future grandma grandpa life met office share summer trip uncle vocation
24318,321,24h,YESTERDAY I WENT TO CIRCUS WITH MY FAMILY. THAT MOMENT I FEEL VERY HAPPY.,YESTERDAY I WENT TO CIRCUS WITH MY FAMILY. THAT MOMENT I FEEL VERY HAPPY.,True,2,affection,affection,16170,circus family feel moment
24322,321,24h,YESTERDAY I WENT TO THE CINEMA WITH MY FAMILY. THAT MOMENT UNFORGETTABLE MOMENT.,YESTERDAY I WENT TO THE CINEMA WITH MY FAMILY. THAT MOMENT UNFORGETTABLE MOMENT.,True,2,affection,affection,19659,cinema family moment moment unforgettable
24328,321,3m,My happiest moment everyday my mom say bye to me when i get ready to go somewhere.,My happiest moment everyday my mom say bye to me when i get ready to go somewhere.,True,1,affection,affection,34242,bye everyday mom moment ready
24347,321,3m,I wished my brother on his b'day at 12.00am. Then i gave same surprises to him. I played  song and dedicated to my brother on that time he felt so happy. On seeing his face on that time that  me very happy.,I wished my brother on his b'day at 12.00am. Then i gave same surprises to him. I played  song and dedicated to my brother on that time he felt so happy. On seeing his face on that time that  me very happy.,True,4,affection,affection,77563,bday brother brother dedicated played song surprise time time wished
24349,321,24h,"Restarting the song when I miss my most favourite line. As I hearing the favourable song, I used to sing that song myself.","Restarting the song when I miss my most favourite line. As I hearing the favourable song, I used to sing that song myself.",True,2,leisure,leisure,86081,favourable favourite hear line missed restarting singing song song song
24369,344,24h,"While I'm lying down on the sofa, my mother tickle me... i was laughing.","While I'm lying down on the sofa, my mother tickle me... i was laughing.",True,1,affection,affection,13250,im laugh lying mother sofa tickle
24373,344,24h,"When i am getting ready to go to my office, my parents send off with cute smile and say ""Have a nice day and Take care.""","When i am getting ready to go to my office, my parents send off with cute smile and say ""Have a nice day and Take care.""",True,1,affection,affection,17134,care cute day nice office parents ready send smile
24374,344,24h,When i came to my office. I met my grandpa and grandma they shared me about my uncle's summer vocation trip and blessed me to get a bright future in my life.,When i came to my office. I met my grandpa and grandma they shared me about my uncle's summer vocation trip and blessed me to get a bright future in my life.,True,2,affection,affection,18127,blessed bright future grandma grandpa life met office share summer trip uncle vocation
24376,344,24h,"When i am getting ready to go to my office, my parents send off with cute smile and say ""Have a nice day and Take care.""","When i am getting ready to go to my office, my parents send off with cute smile and say ""Have a nice day and Take care.""",True,1,affection,affection,19648,care cute day nice office parents ready send smile
24382,344,3m,My happiest moment everyday my mom say bye to me when i get ready to go somewhere.,My happiest moment everyday my mom say bye to me when i get ready to go somewhere.,True,1,affection,affection,34210,bye everyday mom moment ready
24390,344,3m,Listeining a certain song when goes on the long drive in the car and feeling very blissful on that line how much fun I'm having,Listeining a certain song when goes on the long drive in the car and feeling very blissful on that line how much fun I'm having,True,1,enjoy_the_moment,enjoy_the_moment,52172,blissful car drive feel fun im line listeining song
24395,344,3m,"I can remember the graduation day i got the degree certificate, the smile on my parent's face made the 3 years of hell worth it.","I can remember the graduation day i got the degree certificate, the smile on my parent's face made the 3 years of hell worth it.",True,1,affection,affection,69209,certificate day degree graduation hell parents remember smile worth
24396,344,3m,I enjoyed alagar festival that was celebrated in madurai. I saw god alagar in golden chariot with our family members.,I enjoyed alagar festival that was celebrated in madurai. I saw god alagar in golden chariot with our family members.,True,2,enjoy_the_moment,enjoy_the_moment,70067,alagar alagar celebrated chariot enjoyed family festival god golden madurai
24400,344,3m,When i share a heart felt moment of joy and laughter with my family and friends.,When i share a heart felt moment of joy and laughter with my family and friends.,True,1,affection,affection,73978,family friend heart joy laughter moment share
24403,344,24h,"Everything else becoming more interesting when its exam time enjoying the moment. when i heared the announcement of exam time table, at that time, i felt little tensed for preparation. But after completed all the exams, I really felt free with blissful.","Everything else becoming more interesting when its exam time enjoying the moment. when i heared the announcement of exam time table, at that time, i felt little tensed for preparation. But after completed all the exams, I really felt free with blissful.",True,3,achievement,enjoy_the_moment,86116,announced blissful completed enjoyed exam exam exam free hear moment prepared table tensed time time time
24404,344,24h,"Trying hard to find mobile when it is in non-vibrating silent mode, i searching the phone all around in my house, but i kept in my pocket, At that time all the members of my family looked me and started to laugh.","Trying hard to find mobile when it is in non-vibrating silent mode, i searching the phone all around in my house, but i kept in my pocket, At that time all the members of my family looked me and started to laugh.",True,1,affection,affection,87105,family hard house laugh looked mobile mode nonvibrating phone pocket searching silent started time
24407,344,24h,"I found a treasure in front of my home. But it looks very dirty outside the box. when i was brainstorming to hold my hands because of scaring, then i had opened that box, it has some gold coins inside the box. I was so excited and i didn't know that could i do afterwards?","I found a treasure in front of my home. But it looks very dirty outside the box. when i was brainstorming to hold my hands because of scaring, then i had opened that box, it has some gold coins inside the box. I was so excited and i didn't know that could i do afterwards?",True,4,achievement,achievement,92244,box box box brainstorming coins didnt dirty excited found front gold hand hold home inside scared treasure
24410,344,24h,We played a game with friends. I own it! everyone congratulated me! i was at the heaven that right movement. I believe this is my favorite movement in my life.,We played a game with friends. I own it! everyone congratulated me! i was at the heaven that right movement. I believe this is my favorite movement in my life.,True,5,bonding,bonding,95723,congratulated favorite friend game heaven life movement movement played
24411,344,24h,"My dad presented me a new smart phone surprisingly on my birthday I was so excited. I can't forget that day in my life, that was my first surprise given by my dad.","My dad presented me a new smart phone surprisingly on my birthday I was so excited. I can't forget that day in my life, that was my first surprise given by my dad.",True,2,affection,affection,99193,birthday dad dad day excited forget life phone smart surprise surprise
24412,344,24h,My happiest moment everyday my mom say bye to me when i get ready to go somewhere.,My happiest moment everyday my mom say bye to me when i get ready to go somewhere.,True,1,affection,affection,99691,bye everyday mom moment ready
24459,304,24h,I have been going for temple in yesterday. So very happy moment for this yesterday,I have been going for temple in yesterday. So very happy moment for this yesterday,True,2,enjoy_the_moment,enjoy_the_moment,16136,moment temple
24461,304,24h,I have been going for temple in yesterday. So very happy moment for this yesterday,I have been going for temple in yesterday. So very happy moment for this yesterday,True,2,enjoy_the_moment,enjoy_the_moment,18125,moment temple
